Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Exportação;2019;1;Janeiro;Cubatão - SP;95422672;141577622
Exportação;2019;1;Janeiro;Guarujá - SP;33948175;72870251
Exportação;2019;1;Janeiro;Santos - SP;159338047;440201899
Exportação;2019;2;Fevereiro;Cubatão - SP;69486182;117473896
Exportação;2019;2;Fevereiro;Guarujá - SP;72886106;177422108
Exportação;2019;2;Fevereiro;Santos - SP;232125613;578130102
Exportação;2019;3;Março;Cubatão - SP;56142672;67739348
Exportação;2019;3;Março;Guarujá - SP;119923120;315193252
Exportação;2019;3;Março;Santos - SP;229398982;558061349
Exportação;2019;4;Abril;Cubatão - SP;65001323;121001219
Exportação;2019;4;Abril;Guarujá - SP;119592482;315017439
Exportação;2019;4;Abril;Santos - SP;275132061;728993033
Exportação;2019;5;Maio;Cubatão - SP;58906125;99094858
Exportação;2019;5;Maio;Guarujá - SP;67871253;176997187
Exportação;2019;5;Maio;Santos - SP;273732456;720906145
Exportação;2019;6;Junho;Cubatão - SP;65004619;122892879
Exportação;2019;6;Junho;Guarujá - SP;61654987;173694852
Exportação;2019;6;Junho;Santos - SP;206420480;536903547
Exportação;2019;7;Julho;Cubatão - SP;39628631;70761854
Exportação;2019;7;Julho;Guarujá - SP;48649218;134508100
Exportação;2019;7;Julho;Santos - SP;222963124;587194722
Exportação;2019;8;Agosto;Cubatão - SP;47602048;85375240
Exportação;2019;8;Agosto;Guarujá - SP;23664851;64708591
Exportação;2019;8;Agosto;Santos - SP;244596537;763684591
Exportação;2019;9;Setembro;Cubatão - SP;32322627;45613209
Exportação;2019;9;Setembro;Guarujá - SP;23524349;60673642
Exportação;2019;9;Setembro;Santos - SP;181910013;522180723
Exportação;2019;10;Outubro;Cubatão - SP;50951959;97201724
Exportação;2019;10;Outubro;Guarujá - SP;39341498;78499742
Exportação;2019;10;Outubro;Santos - SP;234153298;510749805
Exportação;2019;11;Novembro;Cubatão - SP;34572344;73393500
Exportação;2019;11;Novembro;Guarujá - SP;58132351;120973071
Exportação;2019;11;Novembro;Santos - SP;171999006;400548613
Exportação;2019;12;Dezembro;Cubatão - SP;33360700;37319605
Exportação;2019;12;Dezembro;Guarujá - SP;24223897;21021935
Exportação;2019;12;Dezembro;Santos - SP;168822822;367085984
Exportação;2020;1;Janeiro;Cubatão - SP;36380576;47171517
Exportação;2020;1;Janeiro;Guarujá - SP;36376316;32037259
Exportação;2020;1;Janeiro;Santos - SP;169737846;260856337
Exportação;2020;2;Fevereiro;Cubatão - SP;64646581;125982948
Exportação;2020;2;Fevereiro;Guarujá - SP;39036690;71431357
Exportação;2020;2;Fevereiro;Santos - SP;170596697;321074327
Exportação;2020;3;Março;Cubatão - SP;70616253;152964031
Exportação;2020;3;Março;Guarujá - SP;127982640;340285703
Exportação;2020;3;Março;Santos - SP;298257269;727485688
Exportação;2020;4;Abril;Cubatão - SP;57937230;124633436
Exportação;2020;4;Abril;Guarujá - SP;145022565;392062366
Exportação;2020;4;Abril;Santos - SP;432099552;1213433531
Exportação;2020;5;Maio;Cubatão - SP;38944754;83302049
Exportação;2020;5;Maio;Guarujá - SP;166878177;482060885
Exportação;2020;5;Maio;Santos - SP;259978759;784994754
Exportação;2020;6;Junho;Cubatão - SP;31966419;57308378
Exportação;2020;6;Junho;Guarujá - SP;89221190;249124843
Exportação;2020;6;Junho;Santos - SP;253803389;763376081
Exportação;2020;7;Julho;Cubatão - SP;34138287;75198709
Exportação;2020;7;Julho;Guarujá - SP;63223309;151664833
Exportação;2020;7;Julho;Santos - SP;162467976;478784301
Exportação;2020;8;Agosto;Cubatão - SP;26349367;53206047
Exportação;2020;8;Agosto;Guarujá - SP;41540111;71822726
Exportação;2020;8;Agosto;Santos - SP;202590315;670367612
Exportação;2020;9;Setembro;Cubatão - SP;24478898;51308568
Exportação;2020;9;Setembro;Guarujá - SP;21478564;61342145
Exportação;2020;9;Setembro;Santos - SP;140740141;434990250
Exportação;2020;10;Outubro;Cubatão - SP;41937574;73810121
Exportação;2020;10;Outubro;Guarujá - SP;24027352;57003501
Exportação;2020;10;Outubro;Santos - SP;136201303;364294037
Exportação;2020;11;Novembro;Cubatão - SP;49714118;59232073
Exportação;2020;11;Novembro;Guarujá - SP;33859638;32141317
Exportação;2020;11;Novembro;Santos - SP;126903656;287918703
Exportação;2020;12;Dezembro;Cubatão - SP;40073616;29793544
Exportação;2020;12;Dezembro;Guarujá - SP;32765189;25386632
Exportação;2020;12;Dezembro;Santos - SP;188605359;468707272
Exportação;2021;1;Janeiro;Cubatão - SP;38473930;27220555
Exportação;2021;1;Janeiro;Guarujá - SP;43758353;27488339
Exportação;2021;1;Janeiro;Santos - SP;105066106;184269129
Exportação;2021;2;Fevereiro;Cubatão - SP;86968678;151793950
Exportação;2021;2;Fevereiro;Guarujá - SP;90730495;118961381
