Fluxo;Município;País;Código SH4;Descrição SH4;Ano;mes_numero;mes_nome;Valor US$ FOB;Quilograma Líquido
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;2;Fevereiro;6501908;19146162
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;3;Março;9842111;28981732
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;4;Abril;11708692;35114226
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;5;Maio;4650770;14783746
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;6;Junho;9297122;28076852
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;7;Julho;713141;2000002
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2019;8;Agosto;461398;1300001
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;1;Janeiro;1123387;3185570
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;2;Fevereiro;11356350;33777558
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;3;Março;26699116;80233605
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;4;Abril;15176180;45152342
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;5;Maio;21544203;66697044
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;6;Junho;2579646;7812123
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2020;7;Julho;550519;1554545
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;2;Fevereiro;8018099;24078241
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;3;Março;25419294;69219757
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;4;Abril;35803172;101062761
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;5;Maio;32929330;70382074
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;6;Junho;23901665;60658265
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;7;Julho;7207239;19770336
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;8;Agosto;2327686;6484243
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;9;Setembro;2732141;5111398
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;10;Outubro;21824403;41045891
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;11;Novembro;9478207;18874523
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2021;12;Dezembro;3517490;6714050
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;1;Janeiro;9991171;18685322
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;2;Fevereiro;23168083;43848629
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;3;Março;58741538;97969463
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;4;Abril;64183647;100878722
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;5;Maio;63363717;104257166
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;6;Junho;43845693;70981820
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;7;Julho;30610226;50772518
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;8;Agosto;15803647;26628506
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;9;Setembro;6755005;11072797
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;10;Outubro;24915999;39350844
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;11;Novembro;4628700;6370982
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2022;12;Dezembro;6805221;10704739
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;1;Janeiro;10042141;17603976
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;2;Fevereiro;44320763;80794834
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;3;Março;60521600;113955268
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;4;Abril;87921288;168767197
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;5;Maio;81193439;166995108
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;6;Junho;30812171;65974964
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;7;Julho;15852367;33236804
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;8;Agosto;21923242;43148987
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;9;Setembro;29684527;53272211
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;10;Outubro;22690432;43536837
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;11;Novembro;11544100;22111369
Exportação;Cubatão - SP;China;1201;Soja, mesmo triturada;2023;12;Dezembro;1070955;1786474
