Fluxo;Município;ranking;País;Código SH4;Descrição SH4;volume_total_kg;valor_total_fob;participacao_pct;participacao_acumulada_pct
Exportação;Cubatão - SP;1;China;1201;Soja, mesmo triturada;3600314763;1646601378;29,81446778228412;29,8144677822841
Exportação;Cubatão - SP;2;Canadá;2713;Coque de petróleo, betume de petróleo e outros resíduos dos óleos de petróleo ou de minerais betuminosos;547311693;247213092;4,53232784130766;34,3467956235918
Exportação;Cubatão - SP;3;África do Sul;2713;Coque de petróleo, betume de petróleo e outros resíduos dos óleos de petróleo ou de minerais betuminosos;545342842;245475605;4,51602364332173;38,8628192669135
Exportação;Guarujá - SP;1;China;1201;Soja, mesmo triturada;10100727173;4502160705;78,07620157192446;78,0762015719245
Exportação;Guarujá - SP;2;China;1005;Milho;257344360;59762220;1,98921025987778;80,0654118318022
Exportação;Guarujá - SP;3;Japão;1201;Soja, mesmo triturada;228549365;101295672;1,76663184593030;81,8320436777325
Exportação;Santos - SP;1;China;1201;Soja, mesmo triturada;16884338941;7488613731;23,06697614579943;23,0669761457994
Exportação;Santos - SP;2;Singapura;2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";6062891069;3171283831;8,28297537451120;31,3499515203106
Exportação;Santos - SP;3;Libéria;2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";2664208688;1512076420;3,63977757543689;34,9897290957475
Importação;Cubatão - SP;1;Chile;2501;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes;3872886813;89025737;24,76567802079949;24,7656780207995
Importação;Cubatão - SP;2;Canadá;3104;Adubos (fertilizantes) minerais ou químicos, potássicos;1356595900;528660337;8,67492877689134;33,4406067976908
Importação;Cubatão - SP;3;Estados Unidos;2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";1005658296;989799904;6,43081266255479;39,8714194602456
Importação;Guarujá - SP;1;Estados Unidos;2815;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio";2196674212;376336958;64,04427886422842;64,0442788642284
Importação;Guarujá - SP;2;China;2815;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio";168942735;44664171;4,92554406717160;68,9698229314000
Importação;Guarujá - SP;3;Estados Unidos;2902;Hidrocarbonetos cíclicos;137083578;151733595;3,99668683192891;72,9665097633289
Importação;Santos - SP;1;Argentina;1001;Trigo e mistura de trigo com centeio;4427186980;1203648085;32,07011269905162;32,0701126990516
Importação;Santos - SP;2;Argentina;2711;Gás de petróleo e outros hidrocarbonetos gasosos;1782215243;765848820;12,91019420575222;44,9803069048038
Importação;Santos - SP;3;Estados Unidos;2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";1645637958;1094938061;11,92084161191158;56,9011485167154
