Fluxo;Ano;mes_numero;mes_nome;Município;País;Código SH4;Valor US$ FOB;Quilograma Líquido;Descrição SH4
Exportação;2020;12;Dezembro;Santos - SP;China;1201;105907;301880;Soja, mesmo triturada
Exportação;2020;11;Novembro;Guarujá - SP;China;1201;1988918;5637367;Soja, mesmo triturada
Exportação;2020;11;Novembro;Santos - SP;China;1201;55667;116902;Soja, mesmo triturada
Exportação;2020;10;Outubro;Santos - SP;China;1201;752638;2144148;Soja, mesmo triturada
Exportação;2020;9;Setembro;Santos - SP;China;1201;6354186;17364591;Soja, mesmo triturada
Exportação;2020;8;Agosto;Guarujá - SP;China;1201;15941546;45423568;Soja, mesmo triturada
Exportação;2020;8;Agosto;Santos - SP;China;1201;27602936;78825224;Soja, mesmo triturada
Exportação;2020;7;Julho;Cubatão - SP;China;1201;550519;1554545;Soja, mesmo triturada
Exportação;2020;7;Julho;Guarujá - SP;China;1201;44211909;126819228;Soja, mesmo triturada
Exportação;2020;7;Julho;Santos - SP;China;1201;68222887;194513217;Soja, mesmo triturada
Exportação;2020;6;Junho;Cubatão - SP;China;1201;2579646;7812123;Soja, mesmo triturada
Exportação;2020;6;Junho;Guarujá - SP;China;1201;53082260;159044317;Soja, mesmo triturada
Exportação;2020;6;Junho;Santos - SP;China;1201;100747393;297195530;Soja, mesmo triturada
Exportação;2020;5;Maio;Cubatão - SP;China;1201;21544203;66697044;Soja, mesmo triturada
Exportação;2020;5;Maio;Guarujá - SP;China;1201;88943076;269558752;Soja, mesmo triturada
Exportação;2020;5;Maio;Santos - SP;China;1201;142400270;415708352;Soja, mesmo triturada
Exportação;2020;4;Abril;Cubatão - SP;China;1201;15176180;45152342;Soja, mesmo triturada
Exportação;2020;4;Abril;Guarujá - SP;China;1201;83309610;238628115;Soja, mesmo triturada
Exportação;2020;4;Abril;Santos - SP;China;1201;257614483;756741873;Soja, mesmo triturada
Exportação;2020;3;Março;Cubatão - SP;China;1201;26699116;80233605;Soja, mesmo triturada
Exportação;2020;3;Março;Guarujá - SP;China;1201;111357310;323497006;Soja, mesmo triturada
Exportação;2020;3;Março;Santos - SP;China;1201;148990828;424906095;Soja, mesmo triturada
Exportação;2020;2;Fevereiro;Cubatão - SP;China;1201;11356350;33777558;Soja, mesmo triturada
Exportação;2020;2;Fevereiro;Guarujá - SP;China;1201;21054388;59698786;Soja, mesmo triturada
Exportação;2020;2;Fevereiro;Santos - SP;China;1201;24318891;68682683;Soja, mesmo triturada
